population n_tot f_miss n_filter
lpa 6495225 0.05 692764
lpa 6495225 0.1 373831
lpa 6495225 0.15 254833
lpa 6495225 0.2 194002
lpa 6495225 0.25 154852
wel 6495225 0.05 643120
wel 6495225 0.1 373869
wel 6495225 0.15 271336
wel 6495225 0.2 214448
wel 6495225 0.25 174580
eel 6495225 0.05 961080
eel 6495225 0.1 395312
eel 6495225 0.15 272059
eel 6495225 0.2 210438
eel 6495225 0.25 168092
sel 6495225 0.05 209452
sel 6495225 0.1 119043
sel 6495225 0.15 119043
sel 6495225 0.2 85411
sel 6495225 0.25 63572
